GlobalId,Name,階,配管種別,系統コード,系統名称,IFC系統分類,系統所属数,外径,内径,長さ,方向区分,軸DX,軸DY,軸DZ,水平面角度_deg,勾配,Z最低,Z最高,高低差
3i6NT3lWD4BeNkr3J2NSM8,配管タイプ:00_供給:42163350,5FL,配管タイプ:00_供給,CR 7,M012_CR冷水(還),HEATING,1,114.30000000000001,105.3,10645.662962239974,水平管,1.0,0.0,0.0,0.0,0.0,17.14285,17.25715,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSM9,配管タイプ:00_供給:42163351,5FL,配管タイプ:00_供給,CR 5,M012_CR冷水(還),HEATING,1,114.30000000000001,105.3,1085.0000000000198,水平管,1.0,0.0,0.0,0.0,0.0,17.14285,17.25715,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSM7,配管タイプ:00_供給:42163353,5FL,配管タイプ:00_供給,C 10,M011_C冷水(往),HEATING,1,114.30000000000001,105.3,1084.9999999999893,水平管,1.0,0.0,0.0,0.0,0.0,17.242849999999997,17.357149999999997,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSM5,配管タイプ:00_供給:42163355,5FL,配管タイプ:00_供給,C 9,M011_C冷水(往),HEATING,1,114.30000000000001,105.3,10305.81982602268,水平管,1.0,0.0,0.0,0.0,0.0,17.242849999999997,17.357149999999997,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSM2,配管タイプ:00_供給:42163356,5FL,配管タイプ:00_供給,P031_V通気 1,P031_V通気,VENT,1,152.4,152.4,160.06919818938556,水平管,0.0,1.0,0.0,0.0,0.0,16.723799999999997,16.876199999999997,0.1524000000000001
3i6NT3lWD4BeNkr3J2NSM0,配管タイプ:00_排水:42163358,5FL,配管タイプ:00_排水,P031_V通気 7,P031_V通気,VENT,1,114.30000000000001,105.3,543.9046321022521,水平管,0.0,1.0,0.0,0.0,0.0,16.742849999999997,16.857149999999997,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSM1,配管タイプ:00_供給:42163359,5FL,配管タイプ:00_供給,P031_V通気 1,P031_V通気,VENT,1,152.4,152.4,160.06919818938556,水平管,0.0,1.0,0.0,0.0,0.0,16.723799999999997,16.876199999999997,0.1524000000000001
3i6NT3lWD4BeNkr3J2NSM_,配管タイプ:00_排水:42163360,5FL,配管タイプ:00_排水,P031_V通気 1,P031_V通気,VENT,1,76.3,67.9,195.06919818936893,水平管,0.0,1.0,0.0,0.0,0.0,16.761849999999995,16.83815,0.07630000000000337
3i6NT3lWD4BeNkr3J2NSM$,配管タイプ:00_排水:42163361,5FL,配管タイプ:00_排水,P031_V通気 1,P031_V通気,VENT,1,114.30000000000001,105.3,1620.000000000013,水平管,1.0,0.0,0.0,0.0,0.0,16.742849999999997,16.857149999999997,0.11430000000000007
3i6NT3lWD4BeNkr3J2NSMy,配管タイプ:00_排水:42163362,5FL,配管タイプ:00_排水,P031_V通気 1,P031_V通気,VENT,1,60.5,52.900000000000006,214.06919818938192,水平管,0.0,1.0,0.0,0.0,0.0,16.76975,16.83025,0.06050000000000111
3i6NT3lWD4BeNkr3J2NSMz,配管タイプ:00_供給:42163363,5FL,配管タイプ:00_供給,－ 19,P011_W上水,DOMESTICCOLDWATER,1,34.0,27.6,127.25213171791229,水平管,0.0,1.0,0.0,0.0,0.0,16.583,16.616999999999997,0.03399999999999892
3i6NT3lWD4BeNkr3J2NSMw,配管タイプ:00_供給:42163364,5FL,配管タイプ:00_供給,－ 19,P011_W上水,DOMESTICCOLDWATER,1,34.0,27.6,610.1614678716268,水平管,1.0,0.0,0.0,0.0,0.0,16.583,16.616999999999997,0.03399999999999892
3i6NT3lWD4BeNkr3J2NSMu,配管タイプ:00_供給:42163366,5FL,配管タイプ:00_供給,X 5,P051_X屋内消火栓,FIREPROTECTION,1,48.6,41.6,250.12145627686073,水平管,0.0,1.0,0.0,0.0,0.0,16.6757,16.7243,0.04860000000000042
3i6NT3lWD4BeNkr3J2NSMv,配管タイプ:00_供給:42163367,5FL,配管タイプ:00_供給,X 5,P051_X屋内消火栓,FIREPROTECTION,1,48.6,41.6,1180.0000000000045,水平管,1.0,0.0,0.0,0.0,0.0,16.6757,16.7243,0.04860000000000042
3i6NT3lWD4BeNkr3J2NSMt,配管タイプ:00_供給:42163369,5FL,配管タイプ:00_供給,－ 19,P011_W上水,DOMESTICCOLDWATER,1,34.0,27.6,129.8385321284021,水平管,1.0,0.0,0.0,0.0,0.0,16.583,16.616999999999997,0.03399999999999892
3i6NT3lWD4BeNkr3J2NSMq,配管タイプ:00_供給:42163370,5FL,配管タイプ:00_供給,－ 25,P011_W上水,DOMESTICCOLDWATER,1,34.0,27.6,276.4999999999913,水平管,1.0,0.0,0.0,0.0,0.0,16.583,16.616999999999997,0.03399999999999892
3i6NT3lWD4BeNkr3J2NSMr,配管タイプ:00_供給:42163371,5FL,配管タイプ:00_供給,X 5,P051_X屋内消火栓,FIREPROTECTION,1,48.6,41.6,427.49999999999596,水平管,1.0,0.0,0.0,0.0,0.0,16.6757,16.7243,0.04860000000000042
3i6NT3lWD4BeNkr3J2NSIS,配管タイプ:00_供給:42163586,1FL,配管タイプ:00_供給,－ 30,P011_W上水,DOMESTICCOLDWATER,1,60.5,57.5,6530.400000000024,水平管,0.0,1.0,0.0,0.0,0.0,0.16975000000000007,0.23025000000000004,0.06049999999999997
3i6NT3lWD4BeNkr3J2NSIT,配管タイプ:00_冷媒:42163587,1FL,配管タイプ:00_冷媒,R 23,M091_R冷媒2way,HEATING,1,100.0,20.0,2521.0963611857096,水平管,0.0,1.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIQ,配管タイプ:00_冷媒:42163588,1FL,配管タイプ:00_冷媒,R 22,M091_R冷媒2way,HEATING,1,100.0,20.0,4172.75089354927,水平管,1.0,0.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIR,配管タイプ:00_冷媒:42163589,1FL,配管タイプ:00_冷媒,R 23,M091_R冷媒2way,HEATING,1,100.0,20.0,660.0000000002268,水平管,1.0,0.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
3i6NT3lWD4BeNkr3J2NSIO,配管タイプ:00_冷媒:42163590,1FL,配管タイプ:00_冷媒,R 22,M091_R冷媒2way,HEATING,1,100.0,20.0,1090.33322859511,水平管,1.0,0.0,0.0,0.0,0.0,0.65,0.7500000000000001,0.10000000000000009
