FittingGlobalId,FittingName,FittingTypeName,継手種類,階,系統コード,系統名称,IFC系統分類,FittingPortCount,PortIndex,PortGlobalId,PortName,PortDescription,FlowDirection,PortPredefinedType,PortSystemType,PortDiameterProperties,PortDiameterCandidate,PortProperties,ConnectedPortGlobalId,ConnectedPortName,ConnectedPortFlowDirection,ConnectedPortDiameterProperties,ConnectedPortDiameterCandidate,ConnectedElementClass,ConnectedElementGlobalId,ConnectedElementName,ConnectedElementTypeName,ConnectedElementDiameterProperties,ConnectedElementDiameterCandidate,DiameterCandidate,DiameterSource,Warning
1YmQEFw6r2CwltcTVryy93,011_エルボ:Common:40813831,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,2,1,3kFI8V3cqy$FJkuheauUMx,Port_40813831_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,1W6PXOeBXQiYesJiyXDBnL,Port_40813586_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyDM,配管タイプ:00_供給:40813586,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy93,011_エルボ:Common:40813831,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,2,2,2d7BQXUqfXwy0FP$N6JPhK,Port_40813831_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,2hRfJmn7X3UMOX0fPq5rbk,Port_40813743_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyFh,配管タイプ:00_供給:40813743,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy9a,011_エルボ:Common:40813856,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,1,0XLPX9ITd7rJtUheiFSBO0,Port_40813856_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,2j_E8xIBbWj$2wal8KwgDt,Port_40813261_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyM9,配管タイプ:00_供給:40813261,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy9a,011_エルボ:Common:40813856,011_エルボ:Common,エルボ,5FL,O 1,E_O油(往),USERDEFINED,2,2,05mSOoNBJnp6ycNilwkWmg,Port_40813856_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,17MlSlggnQ$ug3ANnFwZh$,Port_40813303_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyMp,配管タイプ:00_供給:40813303,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy89,011_エルボ:Common:40813901,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,2,1,00zx_u4wXcDbEv51v$YDf4,Port_40813901_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,1cXuxJXJZnL4ndiqLuZRiU,Port_40813347_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyHd,配管タイプ:00_供給:40813347,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryy89,011_エルボ:Common:40813901,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,2,2,3UIQ94ZWi7vdQ9Br8HKfTq,Port_40813901_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,2$keKD0fkrGWDrB0cGWvl1,Port_40813401_1,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyGT,配管タイプ:00_供給:40813401,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyBE,011_エルボ:Common:40813962,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,2,1,3VLvhayKy0GRFJmHOzl4lw,Port_40813962_1,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,0d1f4mBLqnGq$eFyV2zwvX,Port_40813401_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryyGT,配管タイプ:00_供給:40813401,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
1YmQEFw6r2CwltcTVryyBE,011_エルボ:Common:40813962,011_エルボ:Common,エルボ,5FL,OR 1,E_OR油(還),USERDEFINED,2,2,38Nzg6aTvggu4GuB9fsDqZ,Port_40813962_2,Flow,SOURCEANDSINK,PIPE,USERDEFINED,,,,2MxX53sGPEK0uVPxLNrJLM,Port_40813943_0,SOURCEANDSINK,,,IfcPipeSegment,1YmQEFw6r2CwltcTVryy8p,配管タイプ:00_供給:40813943,配管タイプ:00_供給,Pset_PipeSegmentTypeCommon.InnerDiameter=16.1 | Pset_PipeSegmentTypeCommon.OuterDiameter=21.7,21.7,21.7,ConnectedElement,
0sIT3JH9X5JfwkUDQ1bP2J,012_エルボ_冷媒管:Common:40828277,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 3,M091_R冷媒2way,HEATING,2,1,0qYM1ylMNWL2CnIdUopD67,Port_40828277_1,Flow,SOURCEANDSINK,PIPE,HEATING,,,,0FY6IdThKJC$x0kjYpqSCL,Port_43400781_0,SOURCEANDSINK,,,IfcPipeSegment,1UvjyJsubCqvxfV7N9tGKo,配管タイプ:00_冷媒:43400781,配管タイプ:00_冷媒,Pset_PipeSegmentTypeCommon.InnerDiameter=20.0 | Pset_PipeSegmentTypeCommon.OuterDiameter=100.0,100.0,100.0,ConnectedElement,
0sIT3JH9X5JfwkUDQ1bP2J,012_エルボ_冷媒管:Common:40828277,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 3,M091_R冷媒2way,HEATING,2,2,1fjlNEmCHs759FW6tjFvVl,Port_40828277_2,Flow,SOURCEANDSINK,PIPE,HEATING,,,,,,,,,,,,,,,,,接続先Portなし | 径候補なし
