GlobalId,Name,ObjectType,PredefinedType,TypeName,継手種類,階,系統コード,系統名称,IFC系統分類,系統所属数,Material,PortCount,接続径1_mm,接続径2_mm,接続径3_mm,径情報完全性,径取得元,数量_個,Warning
1$rgajjQrCDg9Lz3xmtP5a,011_エルボ:Common:40900937,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtP5C,011_エルボ:Common:40900961,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,1FL,CH 3,M031_CH冷温水(往),HEATING,1,配管－冷温水（往）（還）（膨張）,2,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1$rgajjQrCDg9Lz3xmtP58,011_エルボ:Common:40900965,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,1FL,CHR 2,M032_CHR冷温水(還),HEATING,1,配管－冷温水（往）（還）（膨張）,2,60.5,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1$rgajjQrCDg9Lz3xmtPAh,012_エルボ_冷媒管:Common:40901254,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 2,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,100.0,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1$rgajjQrCDg9Lz3xmtPA2,012_エルボ_冷媒管:Common:40901295,012_エルボ_冷媒管:Common,NOTDEFINED,012_エルボ_冷媒管:Common,冷媒管エルボ,5FL,R 4,M091_R冷媒2way,HEATING,1,配管－冷媒（2）（3）C工事,2,100.0,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
1$rgajjQrCDg9Lz3xmtPNt,021_径違いＴ型:Common:40902106,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,4FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,1,配管－加湿給水,3,42.7,42.7,27.2,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtPQy,071_キャップ:Common:40902289,071_キャップ:Common,NOTDEFINED,071_キャップ:Common,キャップ,4FL,－ 11,M112_W加湿給水,DOMESTICCOLDWATER,1,配管－加湿給水,1,42.7,,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtQS9,011_エルボ:Common:40906532,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtQS1,011_エルボ:Common:40906540,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
1$rgajjQrCDg9Lz3xmtQS3,011_エルボ:Common:40906542,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,5FL,O 2,E_O油(往),USERDEFINED,1,配管－油（往）（還）（通気）,2,21.7,21.7,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
2lIqKSD6992hLpETaqt1rf,011_エルボ:Common:41450367,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,PIT,) 1,P021_D汚水,SEWAGE,1,配管－冷温水（往）（還）（膨張）,2,114.3,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2lIqKSD6992hLpETaqt1i6,011_エルボ:Common:41450768,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,PIT,P022_D雑排水 1,P022_D雑排水,SEWAGE,1,配管－雑排水,2,76.3,,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2lIqKSD6992hLpETaqt1ZB,021_径違いＴ型:Common:41451229,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,P031_V通気 2,P031_V通気,VENT,1,配管－通気・排水槽通気,3,76.3,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2lIqKSD6992hLpETaqt1de,021_径違いＴ型:Common:41451518,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,1FL,P031_V通気 2,P031_V通気,VENT,1,配管－通気・排水槽通気,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
26AhlNQKnFbPLALnqrFsjc,021_径違い90° 大曲がり Y:Common:41458071,021_径違い90° 大曲がり Y:Common,NOTDEFINED,021_径違い90° 大曲がり Y:Common,径違い90°大曲がりY,1FL,D 24,M121_Dドレン,SEWAGE,1,配管－ドレン,3,60.5,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
26AhlNQKnFbPLALnqrFsjg,011_エルボ:Common:41458075,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,1FL,D 24,M121_Dドレン,SEWAGE,1,配管－冷温水（往）（還）（膨張）,2,60.5,60.5,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
26AhlNQKnFbPLALnqrFsjk,011_エルボ:Common:41458079,011_エルボ:Common,NOTDEFINED,011_エルボ:Common,エルボ,4FL,D 24,M121_Dドレン,SEWAGE,1,配管－冷温水（往）（還）（膨張）,2,60.5,60.5,,COMPLETE,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義
26AhlNQKnFbPLALnqrFsiW,071_掃除口:Common:41458129,071_掃除口:Common,NOTDEFINED,071_掃除口:Common,掃除口,1FL,D 24,M121_Dドレン,SEWAGE,1,配管－ドレン,1,,,,NONE,,1,PredefinedType未定義 | 径情報なし
2ya0mA1vr8Nx6iYTzE8Wva,021_径違いＴ型:Common:41463868,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,2FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2ya0mA1vr8Nx6iYTzE8Wuu,021_径違いＴ型:Common:41463904,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,2FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2ya0mA1vr8Nx6iYTzE8Wze,021_径違いＴ型:Common:41464112,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,2FL,－ 2,P011_W上水,DOMESTICCOLDWATER,1,配管－上水,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2WDT0QapDCK8TwSXcPA_Bx,021_径違いＴ型:Common:41480698,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,2FL,P031_V通気 2,P031_V通気,VENT,1,配管－通気・排水槽通気,3,76.3,76.3,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
2WDT0QapDCK8TwSXcPA_0A,021_径違いＴ型:Common:41480971,021_径違いＴ型:Common,NOTDEFINED,021_径違いＴ型:Common,径違いT型,2FL,P031_V通気 2,P031_V通気,VENT,1,配管－通気・排水槽通気,3,60.5,60.5,,PARTIAL,Connected IfcPipeSegment.Pset_PipeSegmentTypeCommon.OuterDiameter,1,PredefinedType未定義 | 径情報一部不足
